CaseID,Organization,Use Case Title,Description,Org Industry,Use Case Industry,Subindustry Tags,Use Case Domain,Tool/Technology,Outcomes & Benefits,Source URL,Source
aicase-02266,Automated highlight generation,Automated highlight generation Case Study,"For sports, generative AI can detect highlights and automatically generate polished packages and promos.",,,,,,,"https://aws.amazon.com/blogs/media/how-fox-teamed-up-with-aws-for-ai-powered-highlights/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS
aicase-02267,Automatic content tagging,Automatic content tagging Case Study,Use generative AI to auto-tag and index massive media libraries for easier search and recommendation.,,,,,,,"https://aws.amazon.com/media/data-science-analytics/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS
aicase-02273,Charter Communications,Charter Communications Case Study,"Charter Communications is streamlining operations and reducing costs with AWS. By migrating to Amazon Redshift, they improved SLA deliverables by 18% and reduced operating costs by 35%, enhancing disaster recovery and business continuity. With Amazon SageMaker Unified Studio, Charter expects to gain a single source of truth, accelerate speed to market, and improve developer productivityâ€”empowering them to deliver more value to customers while staying ahead of innovation.",,,,,,,https://www.youtube.com/watch?v=36yNzOOn4QU&did=cr_card&trk=cr_card,Youtube
aicase-02275,Copalana,Copalana Case Study,"From machine learning to digital volunteering, the cloud can help nonprofits streamline fundraising.",,,,,,,https://aws.amazon.com/podcasts/28-streamlining/,AWS
aicase-02276,Cornell University,Cornell University Case Study,Open data connects the world in unexpected waysâ€”like tracking birds using weather data & machine learning.,,,,,,,https://aws.amazon.com/podcasts/11-tracking-birds/?did=cr_card&trk=cr_card,AWS
aicase-02278,Customer Care Agent Assist - Live Call and Post Call Analytics,Customer Care Agent Assist - Live Call and Post Call Analytics Case Study,"Customer care agents and supervisors can better understand and respond to customer needs by using Real-Time Agent Assist solutions from AWS. These solutions use artificial intelligence to provide conversation analytics in near real time, helping to increase agent effectiveness and improve the customer experience. From the knowledge bases, the solutions can quickly find relevant and actionable information.",,,,,,,"https://aws.amazon.com/solutions/telecom/customer-care-agent-assist/
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS
aicase-02279,Data augmentation,Data augmentation Case Study,"Generate synthetic data to train ML models, when the original dataset is small, imbalanced or sensitive.",,,,,,,"https://aws.amazon.com/generative-ai/use-cases/synthetic-data
https://aws.amazon.com/ai/generative-ai/use-cases/",AWS
aicase-02284,Formula One Group,Formula One Group Case Study,"In this special live segment of TMA, youâ€™ll see whatâ€™s under the hood of Formula 1's F1 Insights. Hear about the machine learning algorithms they train on Amazon SageMaker and how they make inferences during races to deliver insights to fans.",,,,,,,https://youtu.be/gYXqv1UxW3Y?did=cr_card&trk=cr_card,Youtube
aicase-02285,"Fred Hutch, Emory University","Fred Hutch, Emory University Case Study",How can medical researchers use machine learning to speed the time to science? Dive in.,,,,,,,https://aws.amazon.com/podcasts/04-machine-learning-in-medical-research/?did=cr_card&trk=cr_card,AWS
aicase-02289,HSE,HSE Case Study,"HSE Prioritizes Security, Explores Generative AI on AWS.",,,,,,,https://www.youtube.com/watch?v=xwdu9ZnvXA0&did=cr_card&trk=cr_card,Youtube
aicase-02291,INFOR,INFOR Case Study,"Massimo Capoccia, Chief Innovation Officer at Infor, shares how Infor is working with AWS on their generative AI journey. Learn how Infor uses Amazon SageMaker as their core AI platform and is exploring Amazon Bedrock as a framework for generative AI. With AWS, Infor is able to achieve next level optimizations and focus on the value they deliver to their industry customers.",,,,,,,https://www.youtube.com/watch?v=sYYbGAv5m2g&did=cr_card&trk=cr_card,Youtube
aicase-02295,Lenovo,Lenovo Case Study,DataRobot helps Lenovo Brazil use machine learning on AWS to predict sell-out volume at scale.,,,,,,,https://aws.amazon.com/partners/success/lenovo-datarobot/?did=cr_card&trk=cr_card,AWS
aicase-02301,Mistral AI,Mistral AI Case Study,"With Mistral AI models in Amazon Bedrock, customers can experience built-in security, comprehensive AI tools, and a clear path from proof of concept to production. Hear from Marjorie Janiewicz, Mistralâ€™s Global Head of Revenue and US General Manager, as she discusses what makes Mistralâ€™s partnership with AWS unique.",,,,,,,https://www.youtube.com/watch?v=ePY2ryoD5bE&did=cr_card&trk=cr_card,Youtube
aicase-02311,Poolside,Poolside Case Study,poolside's CEO Jason Warner demonstrates how their specialized software development solutionâ€”combining both AI models and developer tools available in Amazon Bedrockâ€”addresses key enterprise engineering challenges. This powerful integration helps developers at all levels navigate code bases faster while increasing productivity through streamlined workflows.,,,,,,,https://www.youtube.com/watch?v=vi41A4kk8oE&did=cr_card&trk=cr_card,Youtube
aicase-02315,Ricoh,Ricoh Case Study,"By leveraging AWS Trainium, Ricoh has optimized Large Language Model (LLM) training, adding Japanese language capabilities to an English LLM through continuous spread training while preventing catastrophic forgetting. They achieved a 50% reduction in training costs and a 25% decrease in training time. This breakthrough enables them to develop custom LLMs for industries like finance more efficiently, requiring fewer resources and shorter development cycles.",,,,,,,https://www.youtube.com/watch?v=iCCChDRSUuI&list=PLFC4DF7286B2419F9&index=52&did=cr_card&trk=cr_card,Youtube
aicase-02317,Saint Louis University (SLU),Saint Louis University (SLU) Case Study,"Worked with AWS Professional Services on building a chatbot platform to improve student productivity and campus engagement. With the AskSLU chatbot, students are able to ask hundreds of questions about the university through a variety of modesâ€”such as the SLU website, text message, and Amazon Echo devices across campusâ€”and get the same response",,,,,,,https://aws.amazon.com/solutions/case-studies/saint-louis-university-professional-services/?did=cr_card&trk=cr_card,AWS
aicase-02325,Synchronized,Synchronized Case Study,The Synchronized platform transforms linear and passive videos into smart videos. Its artificial intelligence understands the content of a video and enriches it with metadata.,,,,,,,https://www.synchronized.tv/news/synchronized-awarded-aws-machine-learning,Synchronized
aicase-02327,"The Center of Cyber Safety and Education, Portland State University","The Center of Cyber Safety and Education, Portland State University Case Study","From delivering content globally to machine learning algorithms that help students graduate faster, cloud-based solutions can help keep students on track.",,,,,,,https://aws.amazon.com/podcasts/id-2020-10-16t160532615z/?did=cr_card&trk=cr_card,AWS
aicase-02329,"UC San Diego, Allen Institute for Artifical Intelligence, MedStar","UC San Diego, Allen Institute for Artifical Intelligence, MedStar Case Study","From AI-powered medical research to integrated telehealth solutions, the cloud helps deliver modern healthcare.",,,,,,,https://aws.amazon.com/podcasts/17-mission-critical-cloud-healthcare/?did=cr_card&trk=cr_card,AWS
aicase-02333,ViacomCBS Domestic Media Networks,ViacomCBS Domestic Media Networks Case Study,"ViacomCBS's Multiplatform Distribution uses AWS services and partners as its media supply chain to process, orchestrate, and deliver media for linear and video-on-demand (VOD) distribution platforms. The system uses AWS to safely ingest media as well as categorize and collate various metadata formats into a single standard to (1) allow a single company-wide metadata schema upstream for all downstream product/platforms and distribution; (2) improve the use and accuracy of AI and personnel-assisted de-duplication of archive assets stored in a data lake containing in excess of 40+ PB; and (3) package media and metadata for long-term storage and archiving in the cloud.",,,,,,,https://youtu.be/UsngU-HjH_Q?did=cr_card&trk=cr_card,Youtube
aicase-02341,Bundesliga,Goal Probability in Football,"Germany's professional football association, Bundesliga, uses AWS to power its 'xGoals' technology, which calculates in real-time the probability of a player scoring a goal from any position on the field.",,,,,,,https://www.youtube.com/watch?v=9OHrlu-cX5g,Youtube
aicase-02346,Cookpad,Cookpad's Anomaly Detection Plan,"While their current architecture is for security log monitoring and analysis, Cookpad has future plans to develop a new anomaly detection feature for security logs using Amazon SageMaker, which is a service for building, training, and deploying machine learning models.",,,,,,,https://www.youtube.com/watch?v=qN5-v4NlKac,Youtube
aicase-02348,EBSCO,How EBSCO is Finding Cloud-Ready Talent Through AWS Cloud Institute,"The sources mention new AI components and services that are evolving business intelligence. For example, AWS Cloud Institute's curriculum is evolving to include components on new AI and Amazon Bedrock. Additionally, Docebo is exploring Amazon Q as a potential way to help its customers automatically generate visuals and dashboards for learning analytics.",,,,,,,https://www.youtube.com/watch?v=rbsiz2vvVYc,Youtube
aicase-02353,Electronic Arts (EA),Automated Content Generation for Gaming,Electronic Arts (EA) enhances gameplay for millions of players with Amazon Bedrock. EA uses generative AI with Amazon Bedrock and the Titan foundational model for several applications.,,,,,,,https://www.youtube.com/watch?v=NJ6iE7ImENM,Youtube
aicase-02354,FINRA,FINRA's Use of Machine Learning Powered Operations,"In their approach to resilience, FINRA identifies the use of machine learning powered operations as a way to minimize the response time to incidents",,,,,,,https://www.youtube.com/watch?v=GamnNc6ZMew,Youtube
aicase-02366,Mahindra Electric,Driver Rating Algorithm,"Mahindra Electric's platform uses AWS Glue to run a driver rating algorithm. This algorithm processes vehicle data (including battery and charging data) to create a driver rating report, which helps fleet operators understand driver performance. While not explicitly labeled AI, this type of algorithmic scoring and analysis based on large datasets is often considered a machine learning application.",Automotive,Automotive,"Electric Vehicles, Fleet Management",Analytics & Business Intelligence,AWS Glue ; Driver rating algorithm (ML implied),Not specified,https://www.youtube.com/watch?v=wbh51O3QrE4,Youtube
aicase-02370,Nasdaq,Anti-Financial Crime Technology,"Nasdaq provides anti-financial crime technology to 2,000 banks and credit unions. This system uses the data-centric architecture of the cloud to deploy advanced algorithms for detecting criminals within the financial system.",,,,,,,https://www.youtube.com/watch?v=m9UmBZR2y-U,Youtube
aicase-02373,Salesforce,Salesforce’s Automated and Personalized Marketing,"Salesforce's Marketing Cloud Engagement platform allows businesses to create digital twins of a customer's journey to provide personalized, real-time guidance and experiences across channels like email and SMS.",,,,,,,https://www.youtube.com/watch?v=YwwP9K2rAyE,Youtube
aicase-02377,Swimming Australia ,Predictive Relay Modeling,"Swimming Australia uses a machine learning application that gathers historical race data to explore scenarios and make suggestions on potential relay team compositions. This application supports coaches in team selection and developing tactical racing strategies, saving analysts significant time in manual data comparison.",,,,,,,https://www.youtube.com/watch?v=9OHrlu-cX5g,Youtube
aicase-02378,Swimming Australia ,Talent Identification in Swimming,"Swimming Australia experimented with AI and machine learning models to identify promising young athletes. They trained an Amazon SageMaker model with data labeled by experienced coaches to understand what constitutes a good performance in a young swimmer.Based on the sources provided, the following can be considered AI and Machine Learning (ML) use cases:",,,,,,,https://www.youtube.com/watch?v=9OHrlu-cX5g,Youtube
aicase-02380,TownSq,Client Churn Prediction,"TownSq, an application for managing communities, plans to use AI to provide predictions to its clients. Their goal is to integrate accounting data with existing operational data to predict if a client is likely to churn or leave the company. This will allow them to find correlations between user behavior and accounting data to build these predictive models.",,,,,,,https://www.youtube.com/watch?v=E8BGpIxzYc4,Youtube
aicase-02382,Toyota and CFS,Toyota and CFS speed up engineering and design with AWS,"Machine learning is being used to create demand forecasts and perform predictive analytics. For instance, a system was built to merge sales and inventory data, and then apply Python statistical models to predict current and future demand for products, helping leadership make key business decisions. Amazon's Monitron product, a smart sensor for factory floors, uses ingested data to perform predictive analytics to understand when machinery might be breaking.",,,,,,,https://www.youtube.com/watch?v=vrA-KiYXTug,Youtube
aicase-02385,Various,Fraud Detection and Analysis wit Copilot agents,"A Copilot agent can be used to identify potential fraud scenarios. When a scenario is flagged, the agent autonomously gathers relevant information from source systems, performs an analysis, and provides it to a human fraud specialist for review, ensuring a ""human is in the loop"".",,,,,,,https://www.youtube.com/watch?v=Iqzqp69QCKI,Youtube
aicase-02386,Various,Personal Compliance agents,An exciting concept of having a personal compliance agent to handle complex compliance tasks.,,,,,,,https://www.youtube.com/watch?v=Iqzqp69QCKI,Youtube
aicase-02387,Various,Automated 3D Content and Asset Creation,"AI can dramatically speed up the creation of 3D content for metaverse experiences. Instead of taking a team of a thousand people years to build a virtual world, AI can be trained to generate 3D assets in a much more automated way. This process is becoming similar to generative art, where the cost and effort of creation are approaching zero. One specific example involves training an AI model on data from correctly rendered car models to recognize and automatically fix anomalies, errors, and gaps in the mesh or material of a newly converted 3D asset, removing the need for a human to manually correct it",,,,,,,https://www.youtube.com/watch?v=IsslvfrT-IU,Youtube
aicase-02388,Various,Digital Humans and Concierge Systems,"AI and machine learning will enable the creation of ""digital humans"" or digital concierge systems. These AI-powered entities will change how people interact with services, such as checking into a hotel or having a conversation with a company. The ease of creating these digital humans is increasing, making them a significant part of future interactive experiences.",,,,,,,https://www.youtube.com/watch?v=IsslvfrT-IU,Youtube
aicase-02410,Swiggy,Neural Search & Conversational Discovery,"Swiggy implemented a neural search system (fine-tuned LLMs) to allow users to search for food & groceries conversationally, even handling open-ended queries (For example,  “Show me vegan starters”)",,,,,,,https://www.zenml.io/llmops-database/neural-search-and-conversational-ai-for-food-delivery-and-restaurant-discovery,ZenML
aicase-02418,Siemens Energy,AI for Transformer Bushings & Grid Simulations,"Building ML/AI surrogates / simulation models to predict component behaviour (hotspot temperatures, etc) in power grid equipment",,,,,,,https://resources.nvidia.com/en-us-energy-surfaces/spotlight-siemens-energy,NVIDIA
aicase-02421,Various,Generating Synthetic EHR Data with Generative AI,"Researchers used prompt engineering + validation models (BERT, RoBERTa, autoencoders etc.) to generate synthetic EHR datasets for use in AI model training, preserving privacy while enabling rich data",,,Healthcare / Synthetic Data,,,,https://arxiv.org/abs/2504.20921,Arxiv
aicase-02422,Various,Automating Clinical Note Generation with AI,"A study used LLMs + ASR + structured prompting to auto-generate SOAP / BIRP clinical notes from doctor-patient conversations, reducing clinician burden",,,Healthcare / Clinical Documentation,,,,https://arxiv.org/abs/2405.18346,Arxiv
aicase-02423,Various,Conversational Health Risk Assessment with LLMs,"A generative LLM was fine-tuned to run conversational risk assessment for COVID-19 (or similar) — patients interact via chat, and the model provides severity predictions + feature importance interpretability",,,Healthcare / Conversational Risk Assessment,,,,https://arxiv.org/abs/2409.15027,Arxiv
aicase-02428,Various,Enabling Embodied Intelligence via Physical AI Agents,"Physical AI Agents — combining perception, cognition, and actuation into embodied AI systems that can interact with environments (warehouses, logistics, manufacturing) rather than just textual reasoning",,,Robotics / Physical Systems,,,,https://arxiv.org/abs/2501.08944,Arxiv
aicase-02429,Various,Accelerating Development with Generative Code AI,"From “28 Generative AI Examples (2025)” — code generation (Copilot-style) helping developers write, review, or automate scripts, QA, internal tools",,,Code / Software / DevOps,,,,https://www.lindy.ai/blog/generative-ai-examples,Lindy
